정답,유사답안,문제,출제연도,문제소분류,문제대분류,비고,Status,담당자,마감일
사용성 테스트(Usability Test),,"사용자가 직접 제품을 사용하면서 미리 작성된 시나리오에 맞추어 과제를 수행한 후, 질문에 답하도록 하는 테스트이며, 현 제품에 대한 사용자의 요구사항과 행동을 관찰할 수 있는 유용한 진단방법이다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
CSS(Cascading Style Sheet),,HTML 문서를 스타일링 하는 언어(W3C 의 표준)로 HTML 문서에서 link 요소를 사용해 CSS 파일을 읽어 들이면 HTML 문서의 구조를 CSS를 통해 스타일링이 가능한 언어이다.,기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
프로토타입 패턴(Prototype Pattern),,"( )은 생성 패턴 중 하나로 처음부터 일반적인 원형을 만들어 놓고, 그것을 복사한 후 필요한 부분만 수정하여 사용하는 패턴으로, 생성할 객체의 원형을 제공하는 인스턴스에서 생성할 객체들의 타입이 결정되도록 설정하며 객체를 생성할 때 갖추어야 할 기본 형태가 있을 때 사용되는 디자인 패턴이다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
싱글톤 패턴(Singleton Pattern),,"( )은 생성 패턴 중 하나로 전역 변수를 사용하지 않고 객체를 하나만 생성하도록 하며, 생성된 객체를 어디에서든지 참조할 수 있도록 하는 디자인 패턴이다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
브리지 패턴(Bridge Pattern),,"( )은 구조 패턴 중 하나로 기능의 클래스 계층과 구현의 클래스 계층을 연결하고, 구현부에서 추상 계층을 분리하여 추상화된 부분과 실제 구현 부분을 독립적으로 확장할 수 있는 디자인패턴이다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
OUl(Organic User lnteriace),,유기적 상호 작용 기반 인터페이스라고 불리며 현실에 존재하는 모든 사물이 입출력장치로 변화할 수 있는 사용자 인터페이스(User Interface)의 유형을 쓰시오.,기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
와이어프레임(Wire-frame),,이해 관계자들과의 화면구성을 협의하거나 서비스의 간략한 흐름을 공유하기 위해 화면 단위의 레이아웃을 셜계하는 UI 화면 설계 방식은 무엇인지 쓰시오.,기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
가시성,,UI 설계 지침 중 주요 기능을 메인 화면에 노출하여 쉬운 조작이 가능해야 한다는 설계 지침은?,기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
사용성 테스트(Usability Test),,"사용자가 직접 제품을 사용하면서 미리 작성된 시나리오에 맞추어 과제를 수행한 후, 질문에 답하도록 하는 테스트이다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
스토리보드(Story Board),,"화면 설계를 위해서 정책이나 프로세스 및 콘텐츠의 구성, 와이어프레임(UI, UX), 기능에 대한 정의, 데이터베이스의 연동 등 구축하는 서비스를 위한 대부분 정보가 수록된 문서로서, 디자이너와 개발자가 최종적으로 참고하는 산출 문서가 무엇인지 쓰시오.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
프로토타입(Prototype),,"( )은 컴퓨터 시스템이나 소프트웨어의 설계 또는 성능, 구현 가능성, 운용 가능성을 평가하거나 요구사항을 좀 더 잘 이해하고 결정하기 위하여 전체적인 기능을 간략한 형태로 구현한 시제품이다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
인스턴스(Instance),,"객체 지향 프로그래밍(OOP; Object Oriented Programming)에서 해당 클래스의 구조로 컴
퓨터 저장 공간에서 할당된 실체이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
퍼사이드 패턴(Facade Pattern),,"( )은 구조 패턴 중 하나로 복잡한 시스템에 대하여 단순한 인터페이스를 제공함으로
써 사용자와 시스템 간 또는 여타 시스템과의 결합도를 낮추어 시스템 구조에 대한 파악을 쉽게 하는 패턴으로 오류에 대해서 단위별로 확인할 수 있게 하며, 사용자의 측면에서 단순한 인터페이스 제공을 통해 접근성을 높일 수 있는 디자인 패턴이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
어댑터 패턴(Adapter Pattern),,"( )은 구조 패턴 중 하나로 기존 생성된 클래스를 재사용할 수 있도록 중간에서 맞춰주
는 역할을 하는 인터페이스를 만드는 패턴으로, 상속을 이용하는 클래스 패턴과 위임을 이용하는 인스턴스 패턴의 두 가지 형태로 사용되는 디자인 패턴이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
템플릿 메서드 패턴(Template Method Pattern),,"( )은 행위 패턴 중 하나로 어떤 작업을 처리하는 일부분을 서브 클래스로 캡슐화해 전체 일을 수행하는 구조는 바꾸지 않으면서 특정 단계에서 수행하는 내역을 바꾸는 패턴으로 일반적으로 상위 클래스(추상 클래스)에는 추상 메서드를 통해 기능의 골격을 제공하고, 하위 클래스(구체 클래스)의 메서드에는 세부 처리를 구체화하는 방식으로 사용하며 코드 앙을 줄이고 유지보수를 용이하게 만드는 특징을 갖는 디자인 패턴이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
객체(Object),,"자신 고유의 데이터(Attribute)를 가지며, 클래스에서 정의한 행위(Behavior)를 수행한다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
커맨드 패턴(Command Pattern),,( )은 행위 패턴 중 하나로 실행될 기능을 캡슐화함으로써 주어진 여러 기능을 실행할 수 있는 재사용성이 높은 클래스를 설계하는 패턴으로 하나의 추상 클래스에 메서드를 만들어 각 명령이 들어오면 그에 맞는 서브 클래스가 선택되어 실행되는 특징을 갖는 디자인 패턴이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
옵저버 패턴(Observer Pattern),,"( )은 행위 패턴 중 하나로 한 객체의 상태가 바뀌면 그 객체에 의존하는 다른 객체들에 연락이 가고 자동으로 내용이 갱신되는 방법으로 일 대 다의 의존성을 가지며 상호 작용하는
객체 사이에서는 가능하면 느슨하게 결합하는 디자인 패턴이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
전략 패턴(Strategy Pattern),,"( )은 행위 패턴 중 하나로 알고리즘 군을 정의하고(추상 클래스) 같은 알고리즘을 각각 하나의 클래스로 캡슐화한 다음, 필요할 때 서로 교환해서 사용할 수 있게 하는 패턴으로, 행위를 클래스로 캡슐화해 동적으로 행위를 자유롭게 바꿀 수 있게 해주는 디자인 패턴이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
운영체제(OS),,"( )는 컴퓨터 시스템이 제공하는 모든 하드웨어, 소프트웨어를 사용할 수 있도록 해주고, 컴퓨터 사용자와 컴퓨터 하드웨어 간의 인터페이스를 담당하는 프로그램으로, 사용자가 컴퓨터를 좀 더 쉽게 사용하기 위해 지원하는 소프트웨어이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
네트워크(Network),,( )는 컴퓨터 장치 의 노드 간 연결(데이터 링크)을 사용하여 서로에게 데이터를 교환할 수 있도록 하는 기술이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
응용 계층,,"( )은 OSI 7계층 중 하나로 사용자와 네트워크 간 응용 서비스 연결, 데이터를 생성하는 계층이며, 대표적인 프로토콜로는 HTTP, FTP가 있다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
전송 계층,,"( )은 OSI 7 계층 중 하나로 신뢰성 있는 통신을 보장하고, 데이터 분할과 재조립, 흐름 제어, 오류 제어, 혼잡제어 등을 담당하는 계층이며, 대표적인 프로토콜에는 TCP, UDP가 있다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
네트워크 계층,,"( )은 OSI 7계층 중 하나로 단말 간 데이터 전송을 위한 최적화된 경로를 제공하는 계층이며, 대표적인 프로토콜로는 IP, ICMP가 있다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
데이터 링크 계층,,"( )은 OSI 7계층 중 하나로 인접 시스템 간 데이터 전송, 전송오류 제어, 동기화, 흐름제어 등의 전송 기능을 제공하는 계층이며, 대표적인 프로토콜은 이더넷이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
물리 계층,,"( )은 OSI 7계층 중 하나로 0과 1의 비트 정보를 회선에 보내기 위한 전기적 신호로 변환하는 계층이며, 대표적인 프로토콜은 RS-232C 이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
백본망(Backbone Network),,"( )은 다양한 네트워크를 상호 연결하는 컴퓨터 네트워크의 일부로서, 각기 다른 LAN이나 부분망 간에 정보를 교환하기 위한 경로를 제공하는 망이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
라우터(Router),,"( )는 3계층 데이터 패킷을 발신지에서 목적지까지 전달하기 위해 최적의 경로를 지정하고, 이 경로를 따라 데이터 패킷을 다음 장치로 전달하는 네트워크 장비이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
스위치(Switch),,"( )는 2계층 장비로서, 동일 네트워크 내에서 출발지에 들어온 데이터 프레임을 목적지 MAC 주소 기반으로 빠르게 전달하는 네트워크 장비이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
게이트웨이(Gateway),,"( )는 컴퓨터 네트워크에서 서로 다른 통신망, 프로토콜을 사용하는 네트워크 간의 통신을 가능하게 하는 네트워크 장비이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
방화벽(Firewall),,"( )은 외부로부터 불법 침입과 내부의 불법 정보 유출을 방지하고, 내 · 외부 네트워크의 상호간 영향을 차단하기 위한 보안시스템이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
DBMS,,"( )는 데이터베이스라는 데이터의 집합을 만들고, 저장 및 관리할 수 있는 기능들을 제공하는 응용 프로그램이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
미들웨어,,"( )는 분산 컴퓨팅 환경에서 응용 프로그램과 프로그램이 운영되는 환경 간에 원만한 통신이 이루어질 수 있도록 제어해주는 소프트웨어로, 운영체제와 소프트웨어 애플리케이션 사이에 있다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
웹 애플리케이션 서버(WAS),,"( )는 서버계층에서 애플리케이션이 동작할 수 있는 환경을 제공하고 안정적인 트랜잭션 처리와 관리, 다른 이기종 시스템과의 애플리케이션 연동을 지원하는 서버이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
가비지 컬렉션(GC),,"( )는 메모리 관리 기법의 하나로, 프로그램이 동적으로 할당했던 메모리 영역 중에서 필요 없게 된 영역을 해제하는 기능이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
총 소유 비용(TCO),,( )은 기업이 시간 경과에 따라 지불해야하는 컴퓨팅 비용을 통합적 관점에서 직접 비용뿐 아니라 이와 관련된 숨겨진 비용까지 포함하여 파악하는 기법이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
기능적 요구사항,,"( )은 시스템이 제공하는 기능, 서비스에 대한 요구사항으로 특정 입력에 대해 시스템이 어떻게 반응해야 하는지에 대해 기술한다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
비기능적 요구사항,,"( )은 시스템이 수행하는 기능 이외의 사항, 시스템 구축에 대한 제약사항에 관한 요구사항으로, 품질 속성에 관련하여 시스템이 갖춰야 할 사항에 관하여 기술한다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
워크숍(Workshop),,"( )은 단기간의 집중적인 노력을 통해 다양하고 전문적인 정보를 획득하고 공유하는 방법으로 프로젝트에 참여하는 모든 핵심 인물의 참여가 필요하고, 참석자들은 해당 전문 영역 별로 팀 협력이 필요하며 사전 준비가 요구된다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
목업(Mockup),,실제 제품이 나오기 전 만드는 모형을 의미(비용절감 목적),기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
감사,,"( )는 소프트웨어 제품 및 프로세스가 규제, 표준, 가이드라인, 계획, 절차를 준수하고 있는지를 독립적으로 평가하는 기법으로 소프트웨어 제품의 제공자, 소비자, 제3기관이 수행한다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
커뮤니케이션(Communication) 다이어그램,,"시스템이나 객체들이 메시지를 주고받으며 시간의 흐름에 따라 상호 작용하는 과정을 표현하고, 문제에 객체의 연관을 표현하는 다이어그램이다.(구성요소 액터, 객체, 링크, 메시지가 있음)",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
상태(State) 다이어그램,,하나의 객체가 자신이 속한 클래스의 상태 변화 혹은 다른 객체와의 상호 작용에 따라 상태가 어떻게 변화하는지 표현하는 다이어그램이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
"사물(Things), 관계(Relationships), 다이어그램(Diagrams)",,"객체 지향 소프트웨어 개발 과정에서 산출물을 명세화, 시각화, 문서화할 때 사용되는 모델링 기술과 방법론을 통합해서 만든 표준화된 범용 모델링 언어인 UML 구성요소 세 가지를 쓰시오.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
시퀀스(Sequence) 다이어그램,,"동적 다이어그램(Dynamic Diagram) 중 객체 간 상호작용을 메시지 흐름과 객체 사이 메시지를 보내는 시간을 표현하는 다이어그램으로 객체, 생명선, 실행, 메시지로 구성되어 있는 다이어그램은 무엇인가?",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
추상 클래스(Abstract Class),,"( )는 객체 인스턴스를 생성하지 않고, 단지 유사 클래스들의 공통된 특징을 정의하고, 하나 이상의 추상메서드와 일반 필드 및 일반 메서드를 포항하는 클래스이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
UI 흐름 설계,,( )는 업무의 흐름이나 업무 수행과 관련된 일련의 클릭에 의한 화면의 위치와 흐름을 흐름도 형식으로 표현하는 활동이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
CLl(Command Line Interface),,명령어를 텍스트로 입력하여 조작하는 사용자 인터페이스로 정적인 텍스트 기반 인터페이스,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
NUl(Natural User Interface),,키보드나 마우스 없이 신체 부위를 이용하는 사용자 인터페이스로 직관적 사용자 반응 기반인터페이스,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
적용성(Adaptability),,IS0/IEC 9126 기반 UI 품질 요구사항 중 이식성 상세품질 요구사항으로 고려된 소프트웨어의 목적을 위해 제공된 수단이나 다른 조치 없이 특정 환경으로 전환되는 능력에 따른 소프트웨어 특성은 무엇인지 작성하시오.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
가시성,,UI 설계 지침 중 ( )은 주요 기능을 메인 화면에 노출하여 쉬운 조작이 가능해야 한다는 지침이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
시나리오 플래닝,,개발 프로젝트의 성공적인 수행을 위해서 내부 관계자에게 UI 개발 필요성 및 목표를 공유하고 개발 범위를 수립하기 위한 주요 기법들 중 불확실성이 높은 상황 변화를 사전에 예측하고 다양한 시나리오를 설계하는 방법으로 불확실성을 제거해나가려는 경영 전략 기법은 무엇인가?,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
SWOT 분석,,"( )은 기업의 내부 환경과 외부 환경을 분석하여 Strength(강점), Weak-ness(약점), Opportunity(기회), Threat(위협) 요인을 규정하고 이를 토대로 경영 전략을 수립하는 방법이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
사용성 테스트(Usability Test),,"UI 검증 시 사용자가 직접 제품을 사용하면서 미리 작성된 시나리오에 맞추어 과제를 수행한 후 질문에 답하도록 하는 테스트이며, 현 제품에 대한 사용자의 요구사항과 행동을 관찰할 수 있는 유용한 진단방법이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
스토리보드(Story Board),,"( )는 UI 화면 설계를 위해서 정책이나 프로세스 및 콘텐츠의 구성, 와이어프레임(UI, UX), 기능에 대한 정의, 데이터베이스의 연동 등 구축하는 서비스를 위한 대부분 정보가 수록된 문서로서, 디자이너와 개발자가 최종적으로 참고하는 산출 문서이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
완전성(Complete),,"UI 시나리오 문서의 작성 요건 중 UI 시나리오는 누락이 없어야 하고, 최대한 빠짐없이 가능한 한 상세하게 기술하며 시스템 기능보다 사용자의 태스크에 초점을 맞춰 기술해야 하는 요건은 무엇인가?",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
활동(Activity) 다이어그램,,동적 다이어그램(Dynamic Diagram) 중 시스템이 어떤 기능을 수행하는지를 객체의 처리 로직이나 조건에 따른 처리의 흐름으로 순서대로 표현하는 다이어그램은 무엇인지 쓰시오.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
개체관계 다이어그램(ERO; Entity Relationship Diagram),,각 업무 분석에서 도출된 엔티티 간의 관계를 이해하기 쉽게 도식화한 다이어그램이다.,기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
정규화(Normalization),,"관계형 데이터 모델에서 데이터의 중복성을 제거하여, 이상 현상을 방지하고, 데이터의 일관성과 정확성을 유지하가 위해 무손실 분해를 하는 과정이다.",기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
반 정규화(De-Normalization),,"정규화된 엔티티, 속성, 관계에 대해 성능 향상과 개발 운영의 단순화를 위해 중복, 통합, 분리 등을 수행하는 데이터 모델링의 기법이다.",기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
개념 모델,,"- 주제 영역과 핵심 데이터 집합 간의 관계를 정의하는 모델이다.
- 전체 모델에서 중요한 골격이 되는 개체와 관계(Relationship)위주의 모델이다.",기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
FK(Foreign Key; 외래키),,어느 한 릴레이션 속성의 집합이 다른 릴레이션의 기본키이다.,기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
유연성(Flexibility),,"( )은 UI 설계 원칙 중 사용자의 인터랙션을 최대한 포용하고, 실수를 방지할 수 있도록 UI를 제작할 수 있는 원칙이고, 부특성에는 오류 예방, 실수 포용, 오류 감지가 있다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
사용자 중심,,( )은 UI 설계 지침 중 사용자가 이해하기 쉽고 편하게 사용할 수 있는 환경을 제공하며 실사용자에 대한 이해가 바탕이 되어야 한다는 설계 지침이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
일관성,,( )은 버튼이나 조작방법을 사용자가 기억하기 빠르고 쉽게 습득할 수 있도록 설계해야 한다는 설계 지침이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
단순성,,( )은 조작 방법은 가장 간단하게 작동되도록 하여 인지적 부담을 최소화해야 한다는 설계 지침이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
결과 예측,,( )은 작동시킬 기능만 보고도 결과 예측이 가능해야 한다는 설계 지침이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
가시성,,( )은 주요 기능을 메인 화면에 노출하여 쉬운 조작이 가능해야 한다는 설계 지침이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
접근성,,"( )은 사용자의 직무, 연령, 성별 등이 고려된 다양한 계층을 수용해야 한다는 설계 지침이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
기능성(Funtionality),,"( )은 UI 품질 요구사항 중 실제 수행 결과와 품질 요구사항의 차이를 분석하고, 실제 사용 시 정확하지 않은 결과가 발생할 확률과 관련하여 시스템의 동작을 관찰하기 위한 품질 기준이다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
신뢰성(Reliability),,( )은 UI 품질 요구사항 중 시스템이 일정한 시간 또는 작동되는 시간 동안 의도하는 기능을 수행함을 보증하는 품질 기준이다.,기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
사용성(Usability),,( )은 UI 품질 요구사항 중 사용자와 컴퓨터 사이에 발생하는 어떠한 행위를 정확하고 쉽게 인지할 수 있는 품질 기준이다.,기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
효율성(Efficiency),,( )은 UI 품질 요구사항 중 할당된 시간에 한정된 자원으로 얼마나 빨리 처리할 수 있는가에 대한 품질 기준이다.,기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
UI 표준,,"( )은 디자인 철학과 원칙 기반하에 전체 시스템에 공통으로 적용되는 화면 간 이동, 화면구성 등에 관한 규약이다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
릴레이션(Relation),,행(Row)과 열(Column)로 구성된 테이블이다.,기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
UI 스타일 가이드,,( )는 UI의 통일과 일관적인 화면을 위해서 시스템이 지켜야 할 UI 요소 정의와 화면설계원칙을 제시하여 디자이너 또는 개발자들이 웹사이트의 관련 분야 업무를 수행 할 때 지켜야 하는 규칙 문서이다.,기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
레이아웃,,"( )은 UI 스타일 가이드에서 화면 구조 정의, 상단 메뉴 구성(Top Area) 정의, 좌측 메뉴 구성(Left Area) 정의, 내용 구성(Contents Area) 정의, 하단 메뉴 구성(Footer Area) 정의, 사용 환경에 맞춰 페이지 폭 정의로 구성되어 있다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
UI 지침(Guideline),,"( )은 UI 표준에 따라 사용자 인터페이스 설계, 개발 시 지켜야할 세부 사항을 규정한다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
3C 분석,,"( )은 고객(Customer), 경쟁하고 있는 자사(Company)와 경쟁사(Competitor)를 비교, 분석하여 자사를 어떻게 차별화해서 경쟁에서 이길 것인가를 분석하는 기법이다.",기출 예상 문제,UI 요구사항 확인,화면 설계,,시작 전,,
1차 정규화(1NF),,"원자값으로 구성, 반복 속성/중복 제거가 필요하다.",기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
2차 정규화(2NF),,"1NF + 부분함수 종속 제거(완전 함수적 종속 관계), 주식별자 아닌 속성을 분리한다.",기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
리서치(Research),,"( )는 지식에 대한 탐구를 기반으로 한 인간 활동이며, 이미 존재하던 지식의 발견, 해석, 정정, 재확인 등에 초점을 맞추는 체계적인 조사를 말한다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
페르소나(Persona),,( )는 사용자 요구사항 도출을 위하여 잠재적 사용자의 다양한 목적과 관찰된 행동 패턴을 응집시켜 놓은 가상의 사용자이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
UI 컨셉션,,( )은 정리된 요구사항을 구체화하는 단계로 화면 디자인 단계 전에 대표 화면 설계를 진행하는 단계이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
3차 정규화(3NF),,"2NF + 이행함수 종속 제거, 속성에 종속적인 속성을 분리한다.",기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
유스케이스 다이어그램(Usecase Diagram),,( )은 시스템이 제공하고 있는 기능 및 그와 관련된 외부 요소를 사용자의 관점에서 표현하는 다이어그램이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
4차 정규화(4NF),,"BCNF + 다치(다중 값) 종속 제거, 특정 속성값에 따라 선택적인 속성을 분리한다.",기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
5차 정규화(5NF),,4NF + 조인 종속을 제거한다.,기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
관계(Relationships),,( )는 UML 구성 요소 중 사물의 의미를 확장하고 명확히 하는 요소로 사물과 사물을 연결하여 관계를 표현하는 요소이고 단어 관점에서 ‘형용사’ 또는 ‘부사’를 의미한다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
배치(Deployment),,"( )는 UML 다이어그램 중 컴포넌트 사이의 종속성을 표현하고, 결과물, 프로세스, 컴포넌트 등 물리적 요소들의 위치를 표현하는 다이어그램이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
시퀀스(Sequence),,( )는 UML 다이어그램 중 객체 간 동적 상호 작용을 시간적 개념을 중심으로 메시지 흐름으로 표현한 다이어그램이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
커뮤니케이션(Communication),,"( )은 UML 다이어그램 중 동작에 참여하는 객체들이 주고 받는 메시지를 표현하고, 메시지뿐만 아니라 객체 간의 연관까지 표현하는 다이어그램이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
상태(State),,( )는 UML 다이어그램 중 하나의 객체가 자신이 속한 클래스의 상태 변화 혹은 다른 객체와의 상호 작용에 따라 상태가 어떻게 변화하는지 표현하는 다이어그램이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
활동(Activity),,( )은 UML 다이어그램 중 시스템이 어떤 기능을 수행하는지를 객체의 처리 로직이나 조건에 따른 처리의 흐름으로 순서대로 표현하는 다이어그램이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
타이밍(Timing),,( )은 UML 다이어그램 중 객체 상태 변화와 시간 제약을 명시적으로 표현하는 다이어그램이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
UML 스테레오 타입(Stereotype),,( )은 UML의 기본적 요소 이외의 새로운 요소를 만들어내기 위한 확장 메커니즘으로 ‘<<>>’(길러멧; Guillemet) 기호를 사용하여 표현한다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
-,,클래스 다이어그램의 접근 제어자(Access Modifier) 중 ( ) 기호는 클래스 내부접근만 허용(private)하는 기호이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
+,,클래스 다이어그램의 접근 제어자(Access Modifier) 중 ( ) 기호는 클래스 외부 접근을 허용(public)하는 기호이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
일반화 관계(Generalization),,"( )는 클래스 간의 관계에서 하나의 사물이 다른 사물에 비해 더 일반적인지 구체적인지를 표현하고, 구체적(하위)인 사물에서 일반적(상위)인 사물 쪽으로 속이 빈 화살표를 연결하여 표현한다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
의존관계(Dependency),,"( )는 클래스 간의 관계에서 하나의 클래스가 또다른 클래스를 사용하는 관계로 사물 사이에 서로 관련은 있으나 필요에 따라 서로에게 영향을 주는 짧은 시간 동안만 유지하는 관계를 표현하고, 영향을 주는 사물이 영향을 받는 사물 쪽으로 점선 화살표를 연결하여 표현한다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
데이터베이스 이상 현상,,데이터의 중복성으로 인해 릴레이션을 조작할 때 발생하는 비합리적 현상이다.,기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
BCNF,,3NF + 모든 결정자가 후보 키가 되도록 하여 결정자 함수 종속성을 제거하는 단계이다.,기출 예상 문제,논리 데이터 저장소 확인,데이터 입출력 구현,,시작 전,,
DDL(Data Definition Language; 데이터 정의어),,"( )은 데이터를 정의하는 언어로서 ‘데이터를 담는 그릇을 정의하는 언어’이다.
테이블과 같은 데이터 구조를 정의하는데 사용되는 명령어들로 특정 구조를 생성, 변경, 삭제, 이름을 바꾸는 데이터 구조와 관련된 명령어들을 ( )이라고 부른다.",기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,,시작 전,,
