정답,유사답안,출제연도,문제소분류,문제대분류,문제,비고
"연산, 구조",,2021년 1회,데이터베이스,응용 SW 기초 기술 활용,"데이터 모델은 현실 세계의 정보를 컴퓨터 세계의 환경에 맞게 표현하기 위해 단순화 추상화하여 체계적으로 표현한 개념적인 도구이다.
데이터 모델은 일반적으로 다음의 3가지 구성 요소를 포함하고 있다.
(1)은 데이터 모델의 구성 요소 중 데이터베이스에 표현된 개체 인스턴스를 처리하는 작업에 대한 명세로서 데이터베이스를 조작하는 기본 도구에 해당한다.
(2)은 데이터 모델의 구성 요소 중 데이터베이스에 표현될 대상으로서의 개체 타입과 개체 타입들 간의 관계에 해당한다.
논리적으로 표현된 (2)와 허용될 수 있는 (1)에서의 제약조건에 대한 명세를 기술한 것이다.",
IPC,,2021년 1회,IT 용어,응용 SW 기초 기술 활용,"‘프로세스 간 통신’이라고도 하며, 세마포어, 소켓 등 프로세스 간 메시지 전달이나 공유 메모리 기법을 통해 자원이나 데이터를 서로 주고받는 행위 또는 그에 대한 방법이나 경로를 의미하는 용어를 쓰시오.",
RARP,,2021년 1회,프로토콜,응용 SW 기초 기술 활용,TCP/IP의 인터넷 계층의 프로토콜로 호스트의 물리 주소를 통하여 논리 주소인 IP 주소를 얻어 오기 위해 사용되는 프로토콜을 무엇이라 하는지 쓰시오.,
세션 하이재킹,Session Hijacking,2021년 1회,보안,정보처리 실무 일반(기타),"( )은 ‘세션 가로채기’라고도 하며, 두 시스템 간의 정상적 연결이 활성화된 상태, 즉 로그인된 상태를 가로채는 것이다. RST(Reset)패킷을 통해 일시적으로 TCP세션을 끊고 시퀀스 넘버를 종료시킨 후 서버와 클라이언트에 각각 잘못된 시퀀스 번호를 위조해서 연결된 세션에 잠시 혼란을 준 뒤 자신이 끼어들어가는 방식을 사용하는 능동적 공격 기법이다.
TCP ( )은 TCP 세션을 훔쳐서 서버에게 새로운 시퀀스 넘버를 보내서 마치 클라이언트 인척하며 연결을 이어나가 인증을 회피하는 공격으로 서버가 세션과 클라이언트의 유효성을 검사하지 않아 발생하게 된다. Telnet, FTP 등 TCP를 사용한 모든 세션의 갈취가 가능하다.",
행위,,2021년 2회,디자인 패턴,요구사항 확인,"GoF(Gang of Four) 디자인 패턴은 에릭 감마(Eric Gamma), 리처드 헬름(Richard Helm), 랄프(Ralph Johnson), 존 브리시데스 (John Vlissides)가 제안하였다.
객체 지향 설계 단계 중 재사용에 관한 유용한 설계를 디자인 패턴화하였다.
생성 패턴, 구조 패턴, ( ) 패턴으로 분류한다. ( )는 반복적으로 사용되는 객체들의 상호작용을 패턴화한 것으로, 클래스나 객체들이 상호작용하는 방법과 책임을 분산하는 방법을 정의한다. ( ) 패턴에는 Command, Interpreter, Iterator, Mediator, Memento, Observe 등이 있다.",
제 2 정규형,,2021년 2회,데이터베이스,데이터 입출력 구현,부분 함수종속이 발생하게 되면 제 ( ) 정규형을 만족하지 못하게 되므로 릴레이션을 분해하여 이를 해결하여야 한다. 제 ( ) 정규형이란 모든 도메인이 원자값인 릴레이션이 완전 함수적 종속성을 만족하는 상태를 말한다.,
"절차, 교환, 기능",,2021년 2회,모듈,서버프로그램 구현,"(1)적 응집도, 모듈이 다수의 관련 기능을 가질 때 모듈 내부의 기능 요소들이 그 기능을 순차적으로 수행할 경우
(2)적 응집도, 동일한 입력과 출력을 사용하는 소작업들이 모인 경우
(3)적 응집도, 모듈 내부의 모든 기능 요소들이 한 문제와 연관되어 수행되는 경우",
"UI, UX",,2021년 2회,UI 설계 원칙,화면 설계,"(1)은 인간과 디지털 기기 소프트웨어 사이에서 의사소통할 수 있도록 만들어진 매개체를 의미한다. (1)의 종류로는 GUI, CLI, NUI, MUI등이 있다.
(2)은 사용자가 제품을 대상으로 직/간접적으로 사용하면서 느끼고 생각하게 되는 지각과 반응, 행동 등 모든 경험을 의미한다. (1)은 사람과 시스템 간의 상호작용을 의미하지만, (2)는 제품과 서비스, 회사와 상호작용을 통한 전체적인 느낌이나 경험을 말한다.",
"구문, 결정, 조건",,2021년 2회,테스트 기법,애플리케이션 테스트 관리,"(1) 커버리지, 코드 구조 내의 모든 문장에 대해 한 번 이상 수행하는 테스트 커버리지
(2) 커버리지, 결정 포인트 내의 모든 분기문에 대해 수행하는 테스트 커버리지
(3) 커버리지, 결정 포인트 내의 모든 개별 조건식에 대해 수행하는 테스트 커버리지",
스텁,,2021년 2회,테스트 기법,애플리케이션 테스트 관리,테스트 하네스 도구 구성요소 중 하향식 테스트 시 상위 모듈은 존재하나 하위 모듈이 없는 경우의 테스트를 위해 임시 제공되는 모듈로 골격만 있는 또는 특별한 목적의 소프트웨어 컴포넌트를 구현한 것을 의미하는 용어를 쓰시오.,
AES,,2021년 2회,보안,소프트웨어 개발 보안 구축,"평문의 길이와 동일한 스트림(Stream)을 생성하여 비트 단위로 암호화하며 DES를 대신하여 새로운 표준이 된 블록 크기는 128bit이고, 키 길이는 128/192/256bit인 SPN(Substitution-Permutation Network) 구조의 비밀키 암호화 기법을 의미하는 용어를 쓰시오.",
원자성,,2021년 2회,트랜잭션,응용 SW 기초 기술 활용,"데이터베이스에서 트랜잭션의 특징인 ACID중 이 개념은 무엇인가?

하나의 트랜잭션이 완료될 떄, 처리가 완료되거나 그 이전의 상태여야 한다.
( )은 트랜잭션 연산은 완전하게 수행이 완료되지 않으면 전혀 수행되지 않아야 한다는 개념이다.
트랜잭션 연산 시 Commit, Rollback을 이용하여 적용 또는 취소로 한꺼번에 완료되어야 하는 성질이다.",
로킹,,2021년 2회,트랜잭션,응용 SW 기초 기술 활용,하나의 트랜잭션이 데이터를 액세스하는 동안 다른 트랜잭션이 그 데이터 항목을 엑세스할 수 없도록 하는 방법을 무엇이라 하는지 쓰시오.,
"가상회선 방식, 데이터그램 방식",,2021년 2회,패킷 교환 방식,응용 SW 기초 기술 활용,"패킷 교환 방식(Packet Switching)은 패킷 교환망에서 메시지를 일정한 길이의 전송 단위인 패킷으로 나누어 전송하는 방식이다. 패킷 교환은 저장-전달 방식을 사용한다.
패킷교환의 방식으로는 연결형인 (1)과 비연결형인 (2)의 두 가지 방식으로 구분 된다.
(1)은 패킷이 전송되기 전에 논리적인 연결 설정이 이루어져야 한다.
(1)은 모든 패킷이 동일한 경로로 전달되므로 항상 보내어진 순서대로 도착이 보장된다.
(2)은 연결형 서비스 방식으로 패킷을 전송하기 전에 미리 경로를 설정해야 한다.
(2)은 일정 크기의 데이터 단위(packet)로 나누어 특정 경로의 설정 없이 전송되는 방식이며, 각 패킷마다 목적지로 가기 위한 경로배정이 독립적으로 이루어진다.",
애드혹 네트워크,,2021년 2회,IT 용어,정보처리 실무 일반(기타),"무선 기반의 이동단말기 간의 연결망의 일종으로서, 라우터 장비가 따로 없고 이동단말기 중 일부가 라우터 역할을 담당하는 네트워크이다.
동적으로 경로를 설정할 수 있기 때문에 ‘기반구조 없는 네트워크’라고도 한다. 험난한 지형 위험한 장소에서의 네트워크구성을 하는데 유용하다. 이동 단말기에 센서 기능을 부가할 경우 USN(Ubiquitous Sensor Network)으로 발전한다.",
"Funtional, Dynamic, Information",,2021년 2회,데이터 모델링,정보처리 실무 일반(기타),"(1) Modeling, 럼바우의 객체지향 분석 모델로 프로세스들의 자료 흐름을 중심으로 처리 과정을 자료 흐름도(DFD, Data Flow Diagram)로 만드는 과정이다.
(2) Modeling, 럼바우의 객체지향 분석 모델로 시간의 흐름에 따라 객체들 간의 제어 흐름, 동작 순서 등의 동적인 행위를 상태 변화도(STD, State Diagram)로 만드는 과정이다.
(3) Modeling, 개념적 모델링(Conceptual Modeling)이라고도 하며 개체와 개체들 간의 관계에서 ER 다이어그램(ERD)을 만드는 과정이다.",
Aggregation 관계,집합/응집,2021년 3회,객체 지향,요구사항 확인,"(1)은 컴퓨터 시스템과 같이 하나의 객체가 다른 객체들의 조합에 의해 만들어진 경우이다.
A 객체가 B 객체에 포함된 관계이며 전체 개념의 클래스로부터 구성요소를 찾을 수 있다.
’부분’을 나타내는 객체를 다른 객체와 공유할 수 있다.
UML에서는 ‘전체’ 클래스 방향에 빈 마름모로 표시하고, Or 관계에 놓이면 선 사이를 점선으로 잇고 {or}를 표시한다.",
 Generalization 관계,일반화/상속,2021년 3회,객체 지향,요구사항 확인,"객체 지향에서 상속 관계(Is A Kind Of)를 표현한다.
일반적 개념의 클래스와 구체적 클래스의 관계이다.
한 클래스가 다른 클래스를 포함하는 상위 개념일 때 사용한다.",
클래스 다이어그램,,2021년 3회,다이어그램,요구사항 확인,"( ) 다이어그램은 시스템을 구성하는 객체 간의 관계를 추상화한 모델을 논리적 구조로 표현한다. ( ) 다이어그램은 클래스, 속성, 오퍼레이션, 연관 관계를 이용하여 시스템을 정적인 관점으로 나타낸 것이다. ( ) 다이어그램을 통해 해당 시스템에서 사용되는 데이터를 발견할 수 있다.",
Factory Method,,2021년 3회,디자인 패턴,요구사항 확인,"객체 생성만을 전문으로 하는 서브 클래스를 정의하고, 해당 객체에서 어떤 객체를 만들지 결정하여 반환하는 메소드를 사용하여 필요한 객체를 생성하는 생성 패턴은 무엇인가?",
인덱스,,2021년 3회,파일 구조,데이터 입출력 구현,"파일 구조에는 순차, ( ), 해싱이 있다.
순차 접근 방법은 레코드가 저장되어 있는 물리적 순차를 따른다. 즉, 레코드의 물리적 순서와 논리적 순서가 같게 순차적으로 저장하는 방법이다.
( ) 접근 방법은 레코드 접근을 위해 해당 ( )을 찾아, 그 ( )가 가리키는 주소를 따라가서 레코드에 접근할 수 있도록 데이터를 저장하는 데이터 접근 방식이다. ( )은 <값, 주소>의 자료구조로 구성되어 있다.
해싱 접근 방법을 이용하는 파일 구조는 ( )구조에 의존할 필요 없이 원하는 레코드에 대한 디스크 블록 주소를 레코드의 탐색 값에 대한 함수 계산을 통해 직접 얻을 수 있다.",
Control Coupling,,2021년 3회,모듈,서버프로그램 구현,"어떤 모듈이 다른 모듈의 내부 논리 조작을 제어하기 위한 목적으로 제어신호를 이용하여 통신하는 경우이며, 하위 모듈에서 상위 모듈로 제어신호가 이동하여 상위 모듈에게 처리 명령을 부여하는 권리 전도현상이 발생하게 되는 결합도를 무엇이라 하는지 영문으로 쓰시오.",
GUI,,2021년 3회,인터페이스,화면 설계,윈도우즈나 매킨토시 등에서 사용자가 마우스나 키보드로 아이콘이나 메뉴를 선택하여 원하는 작업을 수행하는 사용자 인터페이스를 의미하는 용어를 쓰시오.,
Cause Effect Graph,,2021년 3회,테스트 기법,애플리케이션 테스트 관리,요구 명세서를 입력 조건과 출력 조건 간의 논리적 관계로 표현하여 여러 입력 데이터 간의 관계와 출력에 미치는 상황을 체계적으로 분석한 테스트 케이스를 도출하는 입력 환경의 복합성을 고려한 블랙박스 테스트 기법이 무엇인지 쓰시오.,
"상향식 통합, 드라이버",,2021년 3회,테스트 기법,애플리케이션 테스트 관리,점진적 통합 테스트 중 (1) 테스트는 가장 아래에 있는 모듈부터 테스트를 시작한다. (1) 테스트에서는 상위 모듈의 역할을 하는 (2)이 필요하다. (2)는 하위 모듈을 순서에 맞게 호출하고 호출시 필요한 매개변수를 제공하며 결과를 전달하는 역할을 한다.,
DES,,2021년 3회,보안,소프트웨어 개발 보안 구축,1970년대 IBM이 개발한 대칭키 암호화 알고리즘으로 평문을 64bit로 블록화하고 실제 키의 길이는 56bit를 이용한 16라운드 Feistel 구조의 전사 공격(Brute-Force Attack)에 취약한 비밀키 암호화 기법을 의미하는 용어를 쓰시오.,
ARP 스푸핑,,2021년 3회,보안,소프트웨어 개발 보안 구축,"( )공격은 동일 네트워크에 존재하는 공격 대상 PC의 IP 주소를 공격자 자신의 랜카드 (MAC) 주소와 연결해 다른 PC에 전달되어야 하는 정보를 가로채는 공격을 말한다.
어떤 PC에 ( ) 기능을 가진 악성코드가 설치되면 약간의 조작으로 동일 구역 내의 다른 PC에 쉽게 악성코드를 설치할 수 있다. 즉, 동일 네트워크 하의 PC가 외부 네트워크로 접속을 시도할 경우, 악성코드에 감염된 PC를 경유해서 접속함으로써 해당 악성코드에 자동으로 감염되게 되는 것이다. 또한 동일 네트워크 하의 모든 PC가 감염된 PC를 게이트웨이로 인식해 외부 네트워크와 통신하기 위해 발생하는 모든 패킷을 해당 PC에 전송하므로 네트워크 속도가 크게 느려진다. ",
GRANT,,2021년 3회,데이터베이스,응용 SW 기초 기술 활용,데이터제어어(DCL) 중 ( ) 명령어는 관리자가 사용자에게 데이터베이스에 대한 권한을 부여하기 위한 명령어이다.,
"데이터링크, 네트워크, 프레젠테이션",,2021년 3회,OSI 7,응용 SW 기초 기술 활용,"(1) 계층, 내부 네트워크상에서 두 노드 간을 직접 연결하는 링크 상의 흐름 제어, 에러 제어
현재 노드와 다음에 접근할 노드의 물리적 주소를 포함하여 프레임(Frame)을 구성
표준 프로토콜 : HDLC, LLC, LAPB, LAPD, ADCCP
(2) 계층, 논리 주소 지정, 패킷(Packet)의 최적의 경로를 설정 및 네트워크 연결 관리
표준 프로토콜 : X.25, IP
(3) 계층, 코드 변환, 암호화 및 복호화, 압축, 구문 검색",
"인증(Authentication), 인가(Authorization), 과금(Accounting)",,2021년 3회,IT 용어,정보처리 실무 일반(기타),"(1), 사용자가 시스템에 접근을 허용하기 전에 가입자 신분을 확인
(2), 사용자가 시스템 자원에 대한 접근 권한 유무를 판별 후 접근 허가를 결정
(3), 사용 시간, 정보, 위치 등 정보 수집 등 시스템 자원 사용의 정보를 수집하고 관리",
NUI,,2022년 1회,인터페이스,화면 설계,"터치, 증강현실, 상황 인식 등 사람의 감각 행동 인지를 통하여 원하는 작업을 수행하는 사용자 인터페이스를 의미하는 용어를 쓰시오.",
"Static, Dynamic",,2022년 1회,테스트 기법,애플리케이션 테스트 관리,"(1) 분석, 원시 코드를 분석하여 잠재적인 오류를 분석하며, 코딩 표준, 런타임 오류 등을 검증한다.
결함 예방/발견, 코딩 표준, 코드 복잡도 등을 분석하는 것이 가능하다.
(2) 분석, 프로그램 수행 중 발생하는 오류를 검출(Avalanche, Valgrind 등)한다.
메모리 릭(Leak), 동기화 오류 등을 분석하는 것이 가능하다.",
JUnit,,2022년 1회,프레임워크,애플리케이션 테스트 관리,"디자인 패턴 책의 저자인 Erich Gamma와 TDD의 창시자인 Kent Beck가 작성한 인터페이스 구현 검증을 위한 오픈 소스 프레임워크이다.
JAVA 언어를 지원하는 xUnit이라는 이름의 단위 테스트 프레임워크이다.
Annotation(@)으로 간결하게 사용 가능하며 하나의 jar 파일로 되어 있다.",
TKIP,,2022년 1회,프로토콜,소프트웨어 개발 보안 구축,"무선 라우터에서 WEP 암호화를 대체하기 위해 만들어진 보안 프로토콜로 최적의 보안을 위해서는 AES를 사용하게 되어있지만, 일부 장치와의 호환성을 위해 사용하는 임시 키 무결성 프로토콜을 의미하는 용어를 영문 약어로 쓰시오.",
"REDO, UNDO",,2022년 1회,데이터베이스,응용 SW 기초 기술 활용,"(1), 트랜잭션이 수행되어 COMMIT이 되면 변경된 내용을 데이터베이스에 반영한다. 이때 로그(Log)의 내용을 토대로 재수행하여 변경된 내용으로 데이터베이스에 반영하는 과정
(2), 트랜잭션이 수행되는 도중 오류가 발생하거나 비정상적으로 종료되는 경우 트랜잭션이 시작된 시점으로 되돌아가 수행 연산을 취소하는 과정",
삭제 이상,,2022년 1회,데이터베이스,응용 SW 기초 기술 활용,이상(Anomaly) 현상 중 튜플 삭제 시 의도와는 상관없이 관련 없는 데이터가 같이 연쇄 삭제(Triggered Deletion)되어 정보의 손실이 발생하는 현상은?,
"슈퍼키, 후보키",,2022년 1회,데이터베이스,응용 SW 기초 기술 활용,"(1)은 한 릴레이션 내의 속성들의 집합으로 릴레이션을 구성하는 모든 튜플에 대한 유일성은 만족시키지만 최소성은 만족시키지 못한다.
(2)는 릴레이션에서 튜플을 유일하게 구별해주는 속성 또는 속성들의 조합으로 (1)과 (2)를 모두 만족하는 속성 또는 속성들의 집합이다.",
RAID-0,,2022년 1회,IT 용어,정보처리 실무 일반(기타),서버(Server)에서 구성 가능한 디스크 어레이 구축 방식 중 스트라이핑을 지원하지만 장애 복구 능력이 없기 때문에 데이터 손실의 위험을 감수하더라도 빠른 입출력이 가능하도록 여러 드라이브에 분산 저장하여 고성능을 추구하기 위해 디스크를 병렬로 배치하는 방식의 RAID 레벨(Level)을 쓰시오.,
ISMS,,2022년 1회,IT 용어,정보처리 실무 일반(기타),"‘정보보호 관리체계’를 의미하는 용어로, 기업(조직)이 각종 위협으로부터 주요 정보 자산을 보호하기 위해 수립, 관리, 운영하는 종합적인 체계의 적합성에 대해 인증을 부여하는 제도이다.
기업이 정보보호 활동을 지속적, 체계적으로 수행하기 위해 필요한 보호조치를 체계적으로 구축하였는지를 점검하여 일정 수준 이상의 기업에 인증을 부여하는 제도로 한국인터넷진흥원에서 시행중인 제도이다.
수행 절차는 정책 수립 및 범위설정 - 경영조직 - 위험관리 - 구현 - 사후관리 순으로 진행된다.",
Watering Hole,,2022년 1회,보안,정보처리 실무 일반(기타),"표적형 공격으로 사요자가 평소와 같이 이용하던 합법적인 웹사이트를 미리 악성 코드로 감염시킨 후, 해당 사이트를 방문하면 악성 코드를 감염시켜 공격하는 방법을 쓰시오.",
ISP,인터페이스 분리 원칙,2022년 2회,객체 지향,요구사항 확인,"클라이언트는 자신이 사용하지 않는 메소드에 의존 관계를 맺으면 안된다는 원칙이다.
인터페이스를 클라이언트에 특화되도록 분리시켜 설계하는 원칙이다.
예를 들어 복합기 클래스의 모든 기능을 클라이언트가 동시에 사용하는 경우는 거의 없으므로 필요시 프린트, 팩스, 복사기 클라이언트 중 하나의 기능만 이용할 수 있도록 설계하는 경우이다.",
"완전, 부분, 이행","Full, Partial, Transitive",2022년 2회,데이터베이스,데이터 입출력 구현,"정규화(Normalization) 중 1NF는 한 릴레이션을 구성하는 모든 도메인이 원자값(Atomic Value)만으로 구성되도록 하는 정규형을 말한다. 2NF는 1NF에서 (2) Funtional Dependency로 인한 이상의 문제를 해결하기 위해 릴레이션을 분해한 정규형을 말한다. 2NF의 속성들 간에는 (1) Functional Dependency 관계가 성립하게 된다.

3NF는 (3) Functional Dependency 관계가 성립하지 않도록 하는 것이다. (3) Functional Dependency란 간접적인 함수 종속관계를 의미한다. 즉, 예를 들어 속성 A가 속성 B를 결정하고, 속성 B는 속성 C를 결정하는 경우, A → C가 성립한다. 아울러 3NF에서는 결정자이면서 후보키가 아닌 것이 존재함에 따라 이상 현상이 발생할 수도 있다. 결정자이면서 모두 후보키이면, 릴레이션 R은 BCNF에 속한다.",
"알파, 베타",,2022년 2회,테스트 기법,애플리케이션 테스트 관리,"(1) 테스트, 개발사 내에서 진행하는 테스트이다.
개발자 관점에서 수행된다.
개발자는 사용상의 문제를 기록하여 반영되도록 하는 테스트이다.
(2) 테스트, 선정된 다수의 사용자가 자신들의 사용 환경에서 일정 기간 사용하면서 테스트한다.
문제점이나 개선 사항 등을 기록하고 개발 조직에 통보하여 반영되도록 하는 테스트이다.",
회귀,Regression,2022년 2회,테스트 기법,애플리케이션 테스트 관리,"소프트웨어의 변경 또는 수정된 코드에 새로운 결함이 없음을 확인하는 테스트이다.
오류를 제거한 수정 및 변경 모듈에 대한 확정 테스트가 끝나면 새로운 오류가 확인을 위해 이미 테스트했던 부분을 다시 실행해보는 일종의 반복 테스트이다.
한 모듈의 수정이 다른 부분에 미치는 영향을 최소화하기 위해 필요한 테스트이다.",
IDEA,,2022년 2회,보안,소프트웨어 개발 보안 구축,"1990년에 Lai와 Massey가 제안한 PES가 1991년 IPES로 개선된 이후, 1992년 (1)로 개명된 DES를 대체하기 위해서 스위스에서 개발한 알고리즘이다.
상이한 대수 그룹으로부터의 세 가지 연산을 혼합하는 방식이다.
PGP(Pretty Good Privacy)의 데이터 암호 알고리즘으로 채택되어 사용자가 많다.
128비트의 키로 64비트 평문을 8라운드를 거쳐 64비트의 암호문을 생성한다.",
Skipjack,,2022년 2회,보안,소프트웨어 개발 보안 구축,"미국 NSA(National Security Agency)가 제안한 블록 암호화 알고리즘이다.
소프트웨어로 구현되는 것을 막고자 Fortezza Card에 칩 형태로 구현하였다.
Clipper 칩에 내장되는 블록 암호화 알고리즘이다.
64 비트의 입출력, 80 비트의 키, 32 라운드를 가지며, 주로 전화기와 같은 음성을 암호화하는데 사용된다.",
VPN,,2022년 2회,보안,소프트웨어 개발 보안 구축,"( )은 인터넷과 같이 공개된 통신기반 시설을 사용하여 멀리 떨어진 사무실이나 개인 사용자에게 그들이 속한 조직의 네트워크를 안전하게 접근할 수 있도록 제공해주는 네트워크를 말한다. 한 개의 조직만이 전용할 수 있도록 구입하거나 대여받은 값비싼 시스템과 비견 될 수 있다.
( )은 공중망에서 가상의 사설망을 구현하는 기술로 IPsec과 SSL( )이 대표 기술이다. 보안 소켓 계층기반의 가상 사설망인 SSL ( ) 은 인터넷으로 내부 시스템 자원을 안전하게 사용할 수 있어 구축이 간편하고 비용이 적게 드는 반면 인터넷 보안 프로토콜을 이용하는 IPsec은 센터와 지점 모두 별도의 하드웨어 장비가 필요하다.",
관계해석,,2022년 2회,데이터베이스,응용 SW 기초 기술 활용,"( )은 관계 데이터 모델의 제안자인 코드(Codd)가 관계 데이터베이스에 적용할 수 있도록 설계하여 제안하였다.
원하는 정보와 그 정보를 어떻게 유도하는가를 기술하는 비절차적인 언어이다.
수학의 프레디킷 해석(Predicate Calculus)에 기반을 두고 있다.
튜플 ( )와 도메인 ( )가 있다.",
"IGP, EGP",,2022년 2회,프로토콜,응용 SW 기초 기술 활용,"자치 시스템(AS: Autonomous System)은 인터넷상에서 관리적 측면에서 한 단체에 속하여 고나리되고 제어됨으로써, 동일한 라우팅 정책을 사용하는 네트워크 또는 네트워크 그룹을 말한다. 라우팅 도메인으로도 불리며, 전 세계적으로 유일한 자치 시스템번호, AN(Autonomous System Number)을 부여받는다. AS 번호에 따라 (1)과 (2)로 구분한다. 동일한 AS 번호를 사용하는 라우팅 프로토콜을 (1)이라 하며, 다른 AS 번호가 사용되는 라우팅 프로토콜을 (2)라 한다.",
OSPF,,2022년 2회,프로토콜,응용 SW 기초 기술 활용,"한 자치 시스템 내에서의 IP 네트워크는 라우팅 정보를 교환하기 위해 내부 라우팅 프로토콜인 IGP를 사용한다. IGP 의 대표적인 프로토콜로는 RIP와 ( )가 있으며, RIP는 경유하는 라우터의 대수(hop의 수량)에 따라 최단 경로를 동적으로 결정하는 거리 벡터(Distance Vector) 알고리즘을 사용한다. ( )은 링크 상태(Link-State) 라우팅 프로토콜로 IP 패킷에서 프로토콜 번호 89번을 사용하여 라우팅 정보를 전송하여 안정되고 다양한 기능으로 가장 많이 사용되는 IGP이다.",
BGP,,2022년 2회,프로토콜,응용 SW 기초 기술 활용,"타 자치 시스템과의 라우팅 정보 교환을 위해서는 외부 라우팅 프로토콜인 EGP를 사용한다. 연구기관이나 국가기간, 대학, 기업 간, 즉 도메인(게이트웨이) 간에 라우팅 정보를 교환한다. EGP의 대표적인 프로토콜인 ( )은 자치 시스템간의 라우팅 테이블을 전달하는데 주로 이용이 되며, 초기에 연결될 때에는 전체 경로 테이블의 내용을 교환하고, 이후에는 변화된 정보만을 교환한다.",
"HTTP, Hypertext, HTML",,2022년 2회,IT 용어,정보처리 실무 일반(기타),"(1)은 TCP/IP 관련 프로토콜 중 (2)를 전송을 위한 프로토콜로 인터넷상의 서버와 클라이언트 사이의 멀티미디어를 송수신하기 위한 프로토콜이다. (1)은 월드 와이드 웹을 위한 데이터 통신의 기초이다.
(2)에서 다른 문서 간의 연결을 링크(Link)라고 한다. 링크를 이용하면 하나의 문서를 보다가 내용 중의 특정 부분과 관련된 다른 부분을 쉽게 참조할 수 있다.
(3)은 웹 브라우저에 표시될 수 있는 웹 페이지와 기타 정보들을 보여주기 위한 주요 마크업 언어이다.",
