정답,유사답안,출제연도,문제소분류,문제대분류,문제,비고
다차원 척도법,,서브노트,3과목,3과목,"다음의 설명은 어떤 분석 방법을 의미하는가?
- 다변량 데이터에 내재된 특성 및 구조를 통해 개체 간의 유사성/비유사성을 측정하고, 이를 원래의 차원보다 낮은 차원의 공간에 점으로 표현하는 분석 방법이다. 2차원 혹은 3차원 공간상에 표현된 점들은 유사한 개체들은 가깝게, 아닌 개체들은 멀게 표현되며, 이를 통해 개체 간의 관계를 직관적으로 이해할 수 있고 고차원 데이터의 차원을 축소하는 데 사용할 수 있다.",
주성분 분석,,서브노트,3과목,3과목,여러 개의 변수 중 서로 상관성이 높은 변수들의 선형결합으로 새로운 변수(주성분)를 만들어 기존 변수를 요약 및 축소하는 분석 방법은 무엇인가?,
공분산,,서브노트,3과목,3과목,"다음이 설명하는 것이 무엇인지 쓰시오
- 두 개의 확률 변수의 선형관계를 나타낸다. 하나의 확률 변수의 증감에 따른 다른 확률 변수의 증감의 경향에 대한 측도다. 분산이라는 개념을 확장하여 두 개의 확률 변수의 흩어진 정도를 표현한 것이다. 대부분의 시계열 자료들은 자기상관성을 가지기 때문에 ( ) 은 0이 아니다.",
"일정한 평균, 일정한 분산, 시차에만 의존하는 공분산","일정한 평균, 일정한 분산, 특정 시점에 의존하지 않는 공분산",서브노트,3과목,3과목,시계열 자료의 정상성 조건을 3가지 쓰시오,
지수평활법,,서브노트,3과목,3과목,"최근 자료가 과거 자료보다 예측에 효과적이라는 가정하에 최근 데이터일수록 큰 가중치를 부여하고, 오래된 데이터일수록 작은 비중을 부여하는 방식을 사용해 평균을 계산하는 시계열 분석 기법은 무엇인가?",
분해 시계열,,서브노트,3과목,3과목,"시계열은 추세요인, 계절요인, 순환요인, 불규칙요인 등으로 구성되며 이들 요인이 서로 복잡하게 혼합되어 하나의 시계열 데이터를 구성한다. 이때 분석 목적에 따라 특정요인만을 분리해 분석하거나 제거하는 작업을 하게 되는데, 이러한 방법을 무엇이라 하는가?",
군집분석,,서브노트,3과목,3과목,비지도학습 중 하나로 여러 이질적인 데이터들 사이의 유사성을 측정하여 유사성이 높은 객체끼리 하나의 그룹으로 묶기 위한 분석 방법은 무엇인가?,
k-Fold 교차검증,,서브노트,3과목,3과목,전체 데이터를 무작위로 중복되지 않는 k개의 데이터셋으로 나눈 후 k-1개의 데이터를 훈련용 데이터로 사용해 학습하고 나머지 1개의 데이터셋을 검증 데이터로 사용하는 데이터 분할 방식을 무엇이라 하는가?,
붓스트랩,,서브노트,3과목,3과목,재표본추출(resampling) 방법의 일종으로 중복추출을 허용하는 데이터 분할 방식을 무엇이라 하는가?,
분류,,서브노트,3과목,3과목,의사결정나무는 종속변수가 연속형인 회귀트리와 종속변수가 범주형인 ( ) 트리로 구분된다.,
지니지수,,서브노트,3과목,3과목,"( ) 는(은) 이산형 변수의 이진 분할을 위한 CART 알고리즘에서 사용되는 불순도 측도로 통계적 분산 정도를 정량화해서 표현한 값이다. ( ) (을)를 가장 감소시키는 변수를 활용하여 최적분리를 수행, 자식마디를 형성한다.",
앙상블,,서브노트,3과목,3과목,"( ) 분석은 모형의 예측력을 높이고자 여러 번의 데이터 분할을 통하여 구축된 다수의 모형을 결합하여 새로운 모형을 만드는 방법이다. ( ) 분석의 대표적인 방법으로 배깅(bagging), 부스팅(boosting), 랜덤 포레스트(random forest)가 있다.",
부스팅,,서브노트,3과목,3과목,"이것은 앙상블분석의 방법 중 하나로, 이전 모델을 구축한 뒤 다음 모델을 구축할 때 이전 분류기에 의해 잘못 분류된 데이터에 더 큰 가중치를 주어 붓스트랩을 구성한다. 따라서 약한 모델들을 결합하여 나감으로써 점차적으로 강한 분류기를 만들어 나가는 과정이다. 이것은 무엇인가?",
랜덤 포레스트,,서브노트,3과목,3과목,"이것은 앙상블분석의 방법 중 하나로, 큰 분산을 갖고 있다는 의사결정의 단점을 보완하여 분산을 감소시키고 모든 분류기들이 높은 비상관성을 갖기 때문에 일반화의 성능을 향상시킬 수 있다. 또한 의사결정나무의 특징을 물려받아 이상값에 민감하지 않다는 장점이 있다. 이것은 무엇인가?",
"(A) 입력층, (B) 은닉층, (C) 출력층",,서브노트,3과목,3과목,"다음의 빈칸에 알맞은 말을 쓰시오.
- 인공신경망은 ( A ), ( B ), ( C )의 세 가지 층으로 구성된다. 모든 층은 노드로 구성돼 있으며, 각 층은 가중치를 포함한 망으로 연결돼 있다. ( A )은 시스템 외부로부터 예측을 위한 데이터를 입력받아 시스템으로 전송하는 역할을 한다. n개의 독립변수로 종속변수를 예측하고자 한다면 ( A )은 n개의 노드를 가지게 된다.
- ( A )의 노드에서는 어떠한 연산도 발생하지 않는다. ( B )은 일종의 블랙박스로 신경망 외부에서는 ( B )의 노드에 직접 접근할 수 없다. ( B )은 ( A )으로부터 값을 전달받아 가중합과 편향을 계산한 후 활성함수에 적용하여 결과를 산출하고 이를 ( C ) 으로 전송한다.
- ( C )은 학습된 데이터가 포함된 층으로 활성함수의 결과를 담고 있는 노드로 구성된다. 출력층의 노드 수는 출력 범주의 수로 결정된다. 분류 문제일 경우 ( C )의 노드는 각 라벨의 확률을 포함한다.",
역전파 알고리즘,,서브노트,3과목,3과목,"인공신경망을 학습시키기 위해 사용하는 일반적인 알고리즘으로, 인공신경망을 학습시킨다는 것은 출력값과 실제값의 오차가 최소가 되는 가중치와 편향을 찾는 것을 의미한다. 이 알고리즘은 무엇인가?",
k-NN,,서브노트,3과목,3과목,"다음이 설명하는 알고리즘은 무엇인가?
- 정답 라벨이 있는 데이터들 속에서 정답 라벨이 없는 데이터들을 어떻게 분류할 것인지에 대한 해결방법으로 사용된다. 간단히 말해서, 정답 라벨이 없는 자신의 데이터를 분류하기 위해 정답 라벨이 있는 주변의 데이터들을 분석해서 가장 가까이에 있는 데이터의 라벨을 확인하는 것이다.",
1행 1열 / 1열 합계,세로로 True,서브노트,3과목,3과목,표에서 정밀도(Precision)을 구하는 방법은?,
1행 1열 / 1행 합계,가로로 True,서브노트,3과목,3과목,표에서 재현율(Recall)을 구하는 방법은?,
베이즈 이론,베이지안 확률,서브노트,3과목,3과목,사전확률과 우도확률을 통해 사후확률을 추정하는 정리로 데이터를 통해 확률을 추정할 때 현재 관측된 데이터의 빈도만으로 분석하는 것이 아니라 분석자의 사전지식(이미 알려진 사실 혹은 분석자의 주관)까지 포함해 분석하는 확률 이론을 무엇이라 하는가?,
서포트벡터머신,SVM,서브노트,3과목,3과목,"이것은 분류와 회귀분석에 사용되는 지도학습 알고리즘으로, 주어진 데이터를 학습해 새로운 데이터가 어떤 범주에 속할지 결정하는 비확률적 이진 선형모델을 만든다. 그래서 분류 분석, 머신러닝에 활용이 많이 되는 지도학습 알고리즘이기도 하다. 이 알고리즘은 무엇인가?",
ROC 커브,,서브노트,3과목,3과목,"이것은 분류 분석 모형의 평가를 쉽게 비교할 수 있도록 시각화한 그래프다. x축은 FPR(1 - 특이도) 값을, y축은 TPR(민감도) 값을 갖는 그래프로, 이진 분류(0 또는 1) 모형의 성능을 평가하기 위해 사용된다. 이 그래프는 무엇인가?",
유클리디안 거리,(Euclidean),서브노트,3과목,3과목,이것은 군집분석의 거리 측도 중에서 두 점 사이의 거리를 계산할 때 가장 널리 쓰이는 계산 방법으로 두 점 사이의 가장 짧은 거리를 계산한다. 이것은 통계적 개념이 포함되지 않은 수학적 거리로 변수들의 산포 정도를 감안하지 않는다. 이것은 어떤 거리 측도인가?,
계층적 군집분석,,서브노트,3과목,3과목,"개별 관측치 간의 거리를 계산해서 가장 가까운 관측치부터 결합해나가면서 트리 구조를 형성하고, 이를 통해 군집화를 수행하는 군집분석을 무엇이라 하는가?",
k-means 군집,,서브노트,3과목,3과목,군집의 수(k개)를 사전에 정한 뒤 집단 내 동질성과 집단 간 이질성이 모두 높게 전체 데이터를 k개의 군집으로 분할하는 군집 분석 알고리즘은 무엇인가?,
DBSCAN,,서브노트,3과목,3과목,밀도 기반 군집분석의 한 방법으로 개체 간의 거리에 기반을 둔 다른 군집 방법 알고리즘과 다르게 개체들이 밀접한 정도에 기초해 군집을 형성하는 알고리즘은 무엇인가?,
혼합 분포 군집,,서브노트,3과목,3과목,"다음이 설명하는 군집분석의 종류는 무엇인가?
모형 기반의 군집 방법으로 관측된 데이터들은 여러 개의 확률분포(흔히 정규분포)로부터 추출되었다는 가정하에 같은 확률 분포에서 추출된 데이터들끼리 군집화하는 분석 기법이다. 확률분포의 모수(평균, 분산)와 그 확률분포가 전체 데이터에서 차지하는 비중(가중치)을 찾는 것이 ( )의 핵심이다. 이때 모수와 가중치를 추정하는 방법으로는 EM(기댓값 최대화) 알고리즘을 사용한다.",
SOM,자기조직화지도,서브노트,3과목,3과목,"다음이 설명하는 알고리즘은 무엇인가?
- 코호넨 맵이라고도 불리며, 인공신경망을 기반 차원축소와 군집화를 동시에 수행할 수 있는 알고리즘이다. 다차원 데이터를 축소해 저차원의 지도를 생성하고 이를 통해 데이터를 가시화하는 데 유용하다. 또한 입력공간의 속성을 보존한다는 특징이 있어 실제 유사한 데이터는 2차원 격자에서도 가깝게 표현된다.",
